Politiek,"Hoe sterk is de afhankelijkheid van derden? Zijn er alternatieven voor elke samenwerking? Bijvoorbeeld op vlak van AI, gebruik maken van Mistral AI (Frans, Europees) ipv ChatGPT (Amerikaans)"
Politiek,"Is jullie product politiek gekleurd? M.a.w. heeft de overheid van het land waarin het product bedacht wordt, invloed op de werking van het product? Zoals Deepseek uit China die vragen over de repressie op het Tiananmenplein niet wilt beantwoorden: https://www.vrt.be/vrtnws/nl/2025/01/28/wat-is-deepseek/ "
Politiek,Hoe afhankelijk is het product van de internationale handel en akkoorden? Ondervindt het product bijvoorbeeld een effect van de verhoogde importtarieven van Donald Trump? https://www.vbo-feb.be/nl/nieuws/amerikaanse-invoertarieven-wat-moet-u-weten/
Politiek,Vanwaar moeten de verschillende onderdelen van het product komen? Stoten jullie hierbij op bepaalde import / export beperkingen?
Politiek,In welke mate wordt het product beïnvloed door politieke beslissingen op korte/lange termijn?
Economisch,Is het product betaalbaar voor de beoogde doelgroep?
Economisch,Is er vraag naar het product?
Economisch,Kan het product bijdragen aan economische groei of werkgelegenheid?
Economisch,Zorgt het product ervoor dat jobs zullen verdwijnen of juist bijkomen?
Economisch,Wat is het verdienmodel? Is het winstgevend op lange termijn?
Economisch,Zijn er concurrenten?
Economisch,Is er economy of scale mogelijk in de productie van het product?
Technologisch,Is de technologie makkelijk schaalbaar indien nodig?
Technologisch,Hoe moeilijk is het om jouw product te maken/onderhouden?
Technologisch,Zijn er opkomende technologieën die het product snel op technisch vlak verouderd kan maken?
Technologisch,Wordt er gebruikgemaakt van representatieve data?
Technologisch,Worden de gegevens van de gebruiker goed beveiligd?
Technologisch,"Is er sprake van AI? Heeft deze AI ingebouwde bias? Is het echt wel nodig om gebruik te maken van AI? Voorbeeld uit de les: Smartschool die leerproblemen opspoort via AI is geen goed idee, overbodige AI"
Technologisch,Is de achterliggende technologie transparant voor de gebruiker of juist een black-box?
Ecologisch,Wordt het product duurzaam geproduceerd?
Ecologisch,Wat is de ecologische voetafdruk?
Ecologisch,Wat is de levensduur van het product?
Ecologisch,Is het product recycleerbaar/herbruikbaar? Past het product binnen de circulaire economie?
Ecologisch,Bevat het product schadelijke stoffen?
Ecologisch,Wat is het energieverbruik?
Ecologisch,Hoe raakt het product bij de gebruiker? Wordt het product lokaal geproduceerd?
Ecologisch,Hoe schaars is de grondstof waarvan jouw product is gemaakt?
Ecologisch,Heeft het product impact op de klimaatopwarming? Positief/Negatief?
Juridisch,Voldoet het product aan alle relevante wet-en regelgevingen?
Juridisch,"Is het CE-gemarkeerd, voldoet het aan bepaalde keurmerken?"
Juridisch,"Wie is aansprakelijk in geval van schade? (bv voor huurfietsen, deelautos)"
Juridisch,Hoe gaat het product om met privacy en gegevensbescherming (bvb GDPR)?
Juridisch,Zijn er intellectuele eigendommen (zoals patenten) verbonden aan het product?
Juridisch,Zou het product gebruikt kunnen worden voor slechte doeleinden (misbruik)?
Ethisch,Is het uitgangspunt van het probleem zo inclusief mogelijk? Vanuit welke standpunten zouden we dit probleem kunnen bekijken?
Ethisch,Is het uitgangspunt van de oplossing zo inclusief mogelijk? Vanuit welke standpunten zouden we de oplossing kunnen bekijken? Zorgt het probleem voor sommigen voor nieuwe (sub)problemen?
Ethisch,Zijn er bepaalde groepen die gediscrimineerd kunnen worden bij het gebruik van het product?
Ethisch,"Zijn de gebruikte materialen op een ethische manier verworven? (geen kinderarbeid, uitbuiting, …)"
Ethisch,Stimuleert het product overconsumptie of onnodige verspilling?
Ethisch,Worden gebruikers gemanipuleerd op een bepaalde manier door het product? Is het ethisch verantwoord om dit te mogen doen?
Gezondheids,"Zijn eventuele gezondheidsrisico's duidelijk voor de gebruiker? Zo niet, hoe kan dit duidelijk gecommuniceerd worden?"
Gezondheids,Kan het product geen schadelijke neveneffecten hebben bij gebruik? vb. sociale media → mensen raken verslaafd en komen niet meer buiten
Gezondheids,"Kan het product bij langdurig gebruik gezondheidsrisico’s veroorzaken? Indien wel, wordt dit duidelijk aangegeven?"
Gezondheids,Is het product voldoende getest geweest op veiligheid?
Gezondheids,Bevordert/Belemmert het product de fysieke/mentale gezondheid? Zorgt het misschien voor verslaving of slaaptekort?
Veiligheid,Is het product veilig om te gebruiken voor elk soort gebruiker? Kinderen? Ouderen?
Veiligheid,Is het product beveiligd tegen hacken en misbruik?
Veiligheid,Welke schade kan met jullie product aangericht worden in handen van een kwaadaardig persoon?